transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label,fraud_category
T1,U3756,18758.28,Transfer,NetBanking,Web,Hyderabad,895.0,14.0,1.0,25535.84,0.0,0.718,4.0,0,A
T2,U7899,47538.18,Payment,Wallet,iOS,Hyderabad,918.0,21.0,0.0,3955.85,0.0,0.525,9.0,0,A
T3,U1765,36613.1,Payment,Card,Android,Chennai,1506.0,8.0,4.0,22727.71,0.0,0.985,9.0,0,A
T4,U8850,29952.99,Payment,Wallet,Web,Chennai,800.0,1.0,3.0,18095.89,0.0,0.797,2.0,0,A
T5,U9049,7843.13,Payment,UPI,Web,Delhi,301.0,4.0,1.0,9317.49,1.0,0.468,1.0,0,A
T6,U1787,7841.93,Transfer,NetBanking,Web,Hyderabad,1992.0,20.0,3.0,4177.23,0.0,0.583,3.0,0,A
T7,U8763,2951.28,Transfer,UPI,Android,Hyderabad,1285.0,22.0,4.0,11451.45,0.0,0.045,8.0,1,B
T8,U1439,26764.892000000003,Transfer,UPI,Web,Hyderabad,1621.0,4.0,4.0,13297.18,0.0,0.965,4.0,0,A
T9,U6660,30075.69,Transfer,UPI,Android,Mumbai,184.0,11.0,0.0,4308.8,0.0,0.363,5.0,0,A
T10,U3566,35418.23,Payment,Card,Web,Hyderabad,118.0,9.0,3.0,20136.79,0.0,0.662,5.0,0,A
T11,U7074,1078.2,Withdrawal,Wallet,iOS,Mumbai,971.0,3.0,4.0,9282.58,0.0,0.667,2.0,0,A
T12,U4776,15951.035999999998,Transfer,NetBanking,Android,Delhi,1373.0,11.0,2.0,24200.58,0.0,0.057,1.0,0,A
T13,U2955,41630.51,Transfer,Card,iOS,Bangalore,857.0,14.0,4.0,19485.63,0.0,0.266,8.0,0,A
T14,U8947,10656.34,Payment,UPI,Android,Hyderabad,1047.0,9.0,4.0,9384.02,0.0,0.656,5.0,0,A
T15,U7312,9132.16,Payment,NetBanking,iOS,Chennai,702.0,17.0,3.0,10864.59,0.0,0.912,2.0,0,A
T16,U2252,9211.06,Payment,UPI,iOS,Chennai,1355.0,23.0,4.0,28270.21,0.0,0.779,7.0,0,A
T17,U2234,15246.9,Payment,UPI,Web,Hyderabad,1978.0,4.0,1.0,28448.77,0.0,0.58,2.0,0,A
T18,U5276,26261.58,Withdrawal,UPI,Web,Mumbai,1817.0,12.0,4.0,12609.29,0.0,0.232,6.0,0,A
T19,U4164,21625.65,Withdrawal,NetBanking,Android,Chennai,973.0,3.0,2.0,20407.19,0.0,0.949,9.0,0,A
T20,U2630,14596.9,Transfer,Wallet,iOS,Chennai,52.0,8.0,4.0,29401.17,0.0,0.404,4.0,0,A
T21,U9283,30612.05,Withdrawal,UPI,iOS,Delhi,470.0,17.0,0.0,29822.13,0.0,0.15,5.0,0,A
T22,U6747,7017.72,Transfer,Wallet,iOS,Delhi,1135.0,2.0,3.0,2256.81,0.0,0.022,1.0,0,A
T23,U1181,14642.63,Transfer,NetBanking,Web,Delhi,1658.0,23.0,2.0,16649.62,1.0,0.95,4.0,0,A
T24,U4203,18349.77,Withdrawal,NetBanking,Android,Chennai,673.3,10.0,1.0,21825.86,0.0,0.778,9.0,0,A
T25,U4808,22830.7,Transfer,UPI,Android,Chennai,1042.0,3.0,4.0,5687.3,0.0,0.216,5.0,0,A
T26,U3308,39269.54,Payment,Wallet,Android,Hyderabad,158.0,8.0,4.0,24674.96,0.0,0.142,3.0,0,A
T27,U1472,10023.71,Transfer,Wallet,iOS,Hyderabad,347.0,11.0,1.0,14106.78,0.0,0.959,2.0,0,A
T28,U8397,25736.01,Payment,UPI,Android,Mumbai,1012.0,9.0,4.0,14982.77,0.0,0.241,7.0,0,A
T29,U9198,29641.11,Withdrawal,Card,Web,Chennai,233.0,9.0,0.0,8302.26,0.0,0.462,4.0,0,A
T30,U8334,2370.2,Withdrawal,Card,Web,Hyderabad,601.0,8.0,2.0,9074.41,0.0,0.611,3.0,0,A
T31,U2407,30396.87,Transfer,NetBanking,Android,Hyderabad,363.0,9.0,2.2,17484.1,0.0,0.062,2.0,0,A
T32,U7256,8567.68,Payment,NetBanking,iOS,Delhi,1117.0,8.0,1.0,27952.33,0.0,0.344,4.0,0,A
T33,U5506,3299.33,Transfer,Card,Web,Delhi,564.0,0.0,1.0,11517.82,1.0,0.944,9.0,0,A
T34,U5582,31948.282,Withdrawal,Card,Web,Delhi,75.0,21.0,2.0,4950.68,0.0,0.7,7.0,0,A
T35,U3759,48283.32,Transfer,Card,iOS,Bangalore,1132.9,15.0,0.0,4356.41,0.0,0.368,1.0,0,A
T36,U2802,40429.45,Transfer,UPI,iOS,Hyderabad,1924.0,13.0,2.0,12281.44,0.0,0.792,3.0,0,A
T37,U8637,15265.46,Payment,UPI,Android,Delhi,630.0,12.0,4.0,19003.02,1.0,0.837,5.0,0,A
T38,U4639,4928.72,Withdrawal,UPI,Web,Delhi,1647.0,5.0,0.0,23355.69,0.0,0.4431,7.0,0,A
T39,U3206,34227.44,Transfer,UPI,Web,Chennai,1168.0,13.0,0.0,27745.69,0.0,0.587,5.0,0,A
T40,U9553,22035.62,Payment,UPI,Android,Delhi,1119.0,7.0,1.0,19107.49,0.0,0.367,9.0,0,A
T41,U4277,6145.81,Transfer,UPI,Android,Chennai,93.0,22.0,0.0,12677.79,0.0,0.507,7.0,0,A
T42,U6751,24784.09,Payment,NetBanking,Web,Mumbai,1987.0,22.0,4.0,12716.2,0.0,0.469,1.0,0,A
T43,U2054,1767.71,Payment,Wallet,Web,Delhi,236.0,17.0,4.0,17273.87,0.0,0.504,6.0,0,A
