Date,Category,Units Sold,Inventory Level,Units Ordered,Price,Discount,Seasonality
2022-01-01,Groceries,4679,8828,2819,60.52,20,Winter
2022-01-02,Groceries,4769,8625,3125,62.75,20,Winter
2022-01-03,Groceries,3256,7260,3728,56.67,20,Winter
2022-01-04,Groceries,4042,8222,3832,40.16,20,Winter
2022-01-05,Groceries,4321,8686,3443,59.13,20,Winter
2022-01-06,Groceries,4002,8255,3655,56.97,20,Winter
2022-01-07,Groceries,3658,7373,3459,55.56,20,Winter
2022-01-08,Groceries,4285,8381,2832,49.89,20,Winter
2022-01-09,Groceries,4394,8289,3292,61.57,20,Winter
2022-01-10,Groceries,3002,6811,3867,50.07,20,Winter
2022-01-11,Groceries,3880,8860,3572,49.33,20,Winter
2022-01-12,Groceries,2989,7760,3257,58.54,20,Winter
2022-01-13,Groceries,3617,6914,3133,47.84,20,Winter
2022-01-14,Groceries,3607,6083,3513,57.24,20,Winter
2022-01-15,Groceries,3727,9093,3164,50.16,20,Winter
2022-01-16,Groceries,5076,9021,3219,48.67,20,Winter
2022-01-17,Groceries,4036,8822,3071,57.29,20,Winter
2022-01-18,Groceries,3605,7564,2948,64.94,20,Winter
2022-01-19,Groceries,3630,6940,3427,53.23,20,Winter
2022-01-20,Groceries,4315,9536,3121,58.52,20,Winter
2022-01-21,Groceries,3232,7597,3489,46.43,20,Winter
2022-01-22,Groceries,4527,9012,3413,52.8,20,Winter
2022-01-23,Groceries,3059,6227,3594,52.88,20,Winter
2022-01-24,Groceries,3670,7730,3351,62.36,20,Winter
2022-01-25,Groceries,4264,7749,2943,55.63,20,Winter
2022-01-26,Groceries,4721,9219,3304,53.18,20,Winter
2022-01-27,Groceries,3997,8126,3574,50.73,20,Winter
2022-01-28,Groceries,3969,8110,3508,51.65,20,Winter
2022-01-29,Groceries,4438,8296,2685,58.41,20,Winter
2022-01-30,Groceries,3516,7340,3451,61.82,20,Winter
2022-01-31,Groceries,4398,8696,3477,51.63,20,Winter
2022-02-01,Groceries,4615,8898,3248,53.52,20,Winter
2022-02-02,Groceries,3698,8429,3781,52.24,20,Winter
2022-02-03,Groceries,3650,7501,3375,44.54,20,Winter
2022-02-04,Groceries,3331,6028,3343,48.08,20,Winter
2022-02-05,Groceries,3909,8027,3528,53.73,20,Winter
2022-02-06,Groceries,5279,8681,3373,51.87,20,Winter
2022-02-07,Groceries,3857,8436,2632,48.53,20,Winter
2022-02-08,Groceries,4138,7803,3462,46.81,20,Winter
2022-02-09,Groceries,3470,7414,3349,49.22,20,Winter
2022-02-10,Groceries,4993,8854,3383,55.46,20,Winter
2022-02-11,Groceries,3919,8486,3456,44.57,20,Winter
2022-02-12,Groceries,3617,9001,3093,57.03,20,Winter
2022-02-13,Groceries,3389,7756,3363,50.34,20,Winter
2022-02-14,Groceries,5169,7807,3308,56.76,20,Winter
2022-02-15,Groceries,4757,8963,3749,56.3,20,Winter
2022-02-16,Groceries,5311,8506,2898,55.3,20,Winter
2022-02-17,Groceries,3815,8072,3167,55.6,20,Winter
2022-02-18,Groceries,4769,8804,3210,52.55,20,Winter
2022-02-19,Groceries,3585,7374,3409,50.89,20,Winter
2022-02-20,Groceries,4087,7421,3240,62.96,20,Winter
2022-02-21,Groceries,4287,8422,2955,57.26,20,Winter
2022-02-22,Groceries,4338,8825,3292,41.56,20,Winter
2022-02-23,Groceries,3693,7984,2971,54.0,20,Winter
2022-02-24,Groceries,3668,7946,3268,56.01,20,Winter
2022-02-25,Groceries,3173,7351,3526,49.46,20,Winter
2022-02-26,Groceries,3432,7945,2699,53.44,20,Winter
2022-02-27,Groceries,4250,8336,3625,61.72,20,Winter
2022-02-28,Groceries,4700,8970,3118,49.45,20,Winter
2022-03-01,Groceries,4091,7839,3462,50.91,20,Winter
2022-03-02,Groceries,4214,8497,3306,53.51,20,Winter
2022-03-03,Groceries,2961,8035,3109,57.34,20,Winter
2022-03-04,Groceries,4219,8092,3476,56.51,20,Winter
2022-03-05,Groceries,4652,8810,3267,53.85,20,Winter
2022-03-06,Groceries,4246,7276,2758,69.5,20,Winter
2022-03-07,Groceries,4456,8828,3517,59.23,20,Winter
2022-03-08,Groceries,4088,8535,3160,53.82,20,Winter
2022-03-09,Groceries,4298,8188,3479,54.3,20,Winter
2022-03-10,Groceries,4553,7851,3325,50.51,20,Winter
2022-03-11,Groceries,4436,8223,3654,56.85,20,Winter
2022-03-12,Groceries,4443,8276,3536,59.33,20,Winter
2022-03-13,Groceries,3522,8133,3757,60.25,20,Winter
2022-03-14,Groceries,3465,7403,3201,51.2,20,Winter
2022-03-15,Groceries,3701,7881,3159,57.27,20,Winter
2022-03-16,Groceries,3963,8068,3200,53.33,20,Winter
2022-03-17,Groceries,3631,7787,3105,52.96,20,Winter
2022-03-18,Groceries,4483,8731,3341,53.19,20,Winter
2022-03-19,Groceries,4063,8376,3092,55.46,20,Winter
2022-03-20,Groceries,3527,6961,2855,61.57,20,Winter
2022-03-21,Groceries,3710,8126,3092,55.61,20,Spring
2022-03-22,Groceries,4936,9014,2935,50.2,20,Spring
2022-03-23,Groceries,4121,6973,3226,55.94,20,Spring
2022-03-24,Groceries,4293,8379,3429,54.88,20,Spring
2022-03-25,Groceries,4071,9488,3354,56.95,20,Spring
2022-03-26,Groceries,5484,9095,3938,60.95,20,Spring
2022-03-27,Groceries,4856,9471,3283,60.7,20,Spring
2022-03-28,Groceries,3485,7080,3231,48.65,20,Spring
2022-03-29,Groceries,4292,7715,3594,51.7,20,Spring
2022-03-30,Groceries,4279,9398,3753,51.66,20,Spring
2022-03-31,Groceries,4463,9117,3349,62.85,20,Spring
2022-04-01,Groceries,3734,7070,3314,53.05,20,Spring
2022-04-02,Groceries,3640,7298,3482,55.87,20,Spring
2022-04-03,Groceries,4059,8431,3555,45.44,20,Spring
2022-04-04,Groceries,3464,7851,3738,62.07,20,Spring
2022-04-05,Groceries,3474,8038,3200,57.86,20,Spring
2022-04-06,Groceries,4119,9001,3155,51.77,20,Spring
2022-04-07,Groceries,3764,8261,3540,60.5,20,Spring
2022-04-08,Groceries,3871,8154,3237,54.81,20,Spring
2022-04-09,Groceries,4294,8496,3459,50.72,20,Spring
2022-04-10,Groceries,4139,7148,3161,57.3,20,Spring
2022-04-11,Groceries,4691,7548,3241,52.29,20,Spring
2022-04-12,Groceries,4620,7894,3385,58.13,20,Spring
2022-04-13,Groceries,3609,7131,2980,63.87,20,Spring
2022-04-14,Groceries,3466,8018,3500,51.9,20,Spring
2022-04-15,Groceries,4681,9678,3497,61.98,20,Spring
2022-04-16,Groceries,4925,8682,3396,56.35,20,Spring
2022-04-17,Groceries,5066,9105,3461,59.09,20,Spring
2022-04-18,Groceries,4377,9455,3154,51.27,20,Spring
2022-04-19,Groceries,3659,8069,3410,57.48,20,Spring
2022-04-20,Groceries,3776,7216,3455,57.86,20,Spring
2022-04-21,Groceries,3910,7188,3252,53.78,20,Spring
2022-04-22,Groceries,3186,7791,3101,58.45,20,Spring
2022-04-23,Groceries,3811,6836,3297,53.55,20,Spring
2022-04-24,Groceries,3744,7637,3207,61.25,20,Spring
2022-04-25,Groceries,3904,8436,3459,58.08,20,Spring
2022-04-26,Groceries,4443,8871,3653,49.35,20,Spring
2022-04-27,Groceries,3315,6941,3043,51.22,20,Spring
2022-04-28,Groceries,5315,9701,3807,58.78,15,Spring
2022-04-29,Groceries,3838,8086,3859,59.33,20,Spring
2022-04-30,Groceries,4224,7119,3457,59.3,20,Spring
2022-05-01,Groceries,3544,7634,3557,53.96,20,Spring
2022-05-02,Groceries,3337,7826,2962,56.62,20,Spring
2022-05-03,Groceries,3006,7266,2998,48.13,20,Spring
2022-05-04,Groceries,3319,7709,3333,59.0,20,Spring
2022-05-05,Groceries,4049,7970,3098,51.1,20,Spring
2022-05-06,Groceries,4436,8134,3227,56.48,20,Spring
2022-05-07,Groceries,3843,7901,2974,55.92,20,Spring
2022-05-08,Groceries,5692,8825,3024,57.17,20,Spring
2022-05-09,Groceries,3069,7602,3158,54.63,20,Spring
2022-05-10,Groceries,4641,9191,3320,55.11,20,Spring
2022-05-11,Groceries,4191,7897,3479,53.3,20,Spring
2022-05-12,Groceries,3799,7622,2749,52.58,20,Spring
2022-05-13,Groceries,3745,7603,3101,55.33,20,Spring
2022-05-14,Groceries,3437,7321,3233,45.01,20,Spring
2022-05-15,Groceries,4307,8441,3193,58.1,20,Spring
2022-05-16,Groceries,4363,7742,2913,53.74,20,Spring
2022-05-17,Groceries,3611,8633,3355,51.41,20,Spring
2022-05-18,Groceries,3755,7932,3463,54.87,20,Spring
2022-05-19,Groceries,3671,8255,2679,58.41,20,Spring
2022-05-20,Groceries,4042,9554,3012,56.84,20,Spring
2022-05-21,Groceries,4476,8980,3524,51.56,20,Spring
2022-05-22,Groceries,4481,8046,3160,56.53,20,Spring
2022-05-23,Groceries,3304,8304,2942,56.73,20,Spring
2022-05-24,Groceries,4512,9061,3050,58.71,20,Spring
2022-05-25,Groceries,4031,8772,3102,56.98,20,Spring
2022-05-26,Groceries,5184,10311,3257,65.88,20,Spring
2022-05-27,Groceries,4114,8537,3177,55.28,20,Spring
2022-05-28,Groceries,4074,7779,3451,59.25,20,Spring
2022-05-29,Groceries,3928,9112,3293,56.53,20,Spring
2022-05-30,Groceries,3580,8781,3570,62.68,20,Spring
