Date,Product ID,Category,Units Sold,Inventory Level,Units Ordered,Price,Discount,Seasonality
2022-01-01,P0001,Groceries,726,1403,505,43.89,20,Winter
2022-01-02,P0001,Groceries,627,1162,383,61.93,20,Winter
2022-01-03,P0001,Groceries,270,1027,830,62.72,20,Winter
2022-01-04,P0001,Groceries,752,1398,689,49.3,20,Winter
2022-01-05,P0001,Groceries,633,1448,380,55.16,20,Winter
2022-01-06,P0001,Groceries,584,1070,432,53.54,20,Winter
2022-01-07,P0001,Groceries,406,1368,628,67.87,20,Winter
2022-01-08,P0001,Groceries,683,1119,693,54.95,20,Winter
2022-01-09,P0001,Groceries,1278,1676,623,74.97,20,Winter
2022-01-10,P0001,Groceries,438,981,598,27.3,15,Winter
2022-01-11,P0001,Groceries,319,1116,717,35.26,20,Winter
2022-01-12,P0001,Groceries,631,1117,808,65.3,20,Winter
2022-01-13,P0001,Groceries,633,1218,544,45.53,20,Winter
2022-01-14,P0001,Groceries,400,597,590,48.42,20,Winter
2022-01-15,P0001,Groceries,586,1556,644,64.62,20,Winter
2022-01-16,P0001,Groceries,550,1134,555,40.74,15,Winter
2022-01-17,P0001,Groceries,556,988,416,66.46,20,Winter
2022-01-18,P0001,Groceries,808,1575,411,61.68,20,Winter
2022-01-19,P0001,Groceries,970,1576,622,43.21,20,Winter
2022-01-20,P0001,Groceries,454,1395,519,39.53,20,Winter
2022-01-21,P0001,Groceries,810,1296,605,42.86,15,Winter
2022-01-22,P0001,Groceries,644,1596,558,65.93,15,Winter
2022-01-23,P0001,Groceries,678,1006,498,52.6,20,Winter
2022-01-24,P0001,Groceries,692,1217,558,63.75,15,Winter
2022-01-25,P0001,Groceries,853,1187,522,51.46,15,Winter
2022-01-26,P0001,Groceries,415,1326,681,49.25,15,Winter
2022-01-27,P0001,Groceries,1184,1816,740,74.74,20,Winter
2022-01-28,P0001,Groceries,591,1292,649,55.74,20,Winter
2022-01-29,P0001,Groceries,642,1238,580,55.98,20,Winter
2022-01-30,P0001,Groceries,626,1546,370,58.9,20,Winter
2022-01-31,P0001,Groceries,702,1416,549,59.58,15,Winter
2022-02-01,P0001,Groceries,1115,1503,538,36.17,20,Winter
2022-02-02,P0001,Groceries,573,1044,824,35.53,20,Winter
2022-02-03,P0001,Groceries,460,1167,683,72.96,20,Winter
2022-02-04,P0001,Groceries,708,1109,582,45.97,20,Winter
2022-02-05,P0001,Groceries,600,929,695,57.33,15,Winter
2022-02-06,P0001,Groceries,1095,1541,550,67.4,15,Winter
2022-02-07,P0001,Groceries,783,1457,364,47.88,20,Winter
2022-02-08,P0001,Groceries,459,1184,698,51.9,20,Winter
2022-02-09,P0001,Groceries,673,1284,715,39.35,15,Winter
2022-02-10,P0001,Groceries,1088,1702,606,62.47,20,Winter
2022-02-11,P0001,Groceries,522,990,555,37.98,15,Winter
2022-02-12,P0001,Groceries,347,1496,476,68.81,15,Winter
2022-02-13,P0001,Groceries,270,1000,577,47.49,15,Winter
2022-02-14,P0001,Groceries,701,1464,381,65.2,15,Winter
2022-02-15,P0001,Groceries,655,1089,542,68.29,15,Winter
2022-02-16,P0001,Groceries,1317,1664,653,60.75,15,Winter
2022-02-17,P0001,Groceries,268,866,414,64.19,10,Winter
