Date,Region,Units Sold,Inventory Level,Units Ordered,Price,Discount,Competitor Pricing,Seasonality
2022-01-01,East,5736,10600,4633,54.11,20,54.3,Winter
2022-01-02,East,5761,10776,4343,55.99,20,55.64,Winter
2022-01-03,East,5303,10321,4931,57.34,20,57.66,Winter
2022-01-04,East,5305,10377,4629,53.69,20,53.61,Winter
2022-01-05,East,4353,10753,4469,57.45,20,57.17,Winter
2022-01-06,East,5501,9718,4483,57.72,20,57.46,Winter
2022-01-07,East,4645,10763,4885,54.9,20,54.41,Winter
2022-01-08,East,5666,12040,3903,56.5,20,56.09,Winter
2022-01-09,East,6399,11497,4294,59.37,20,58.86,Winter
2022-01-10,East,5223,11448,4768,48.99,20,48.38,Winter
2022-01-11,East,7096,11854,5157,51.72,20,52.01,Winter
2022-01-12,East,4604,11990,4296,62.56,20,62.98,Winter
2022-01-13,East,5497,9959,4756,49.94,20,50.84,Winter
2022-01-14,East,4504,10041,4008,54.69,20,54.61,Winter
2022-01-15,East,5143,11130,4070,57.77,20,58.49,Winter
2022-01-16,East,6687,10903,4594,52.89,20,53.03,Winter
2022-01-17,East,4651,9174,4085,55.04,20,54.95,Winter
2022-01-18,East,5382,9539,4055,56.43,20,56.73,Winter
2022-01-19,East,6273,12197,4942,60.05,20,61.15,Winter
2022-01-20,East,6091,12386,4207,65.85,20,65.28,Winter
2022-01-21,East,5199,10281,3821,52.56,20,53.23,Winter
2022-01-22,East,5355,10436,4788,50.32,20,50.32,Winter
2022-01-23,East,4390,8361,4263,51.87,20,51.84,Winter
2022-01-24,East,4135,9950,4563,58.19,20,58.24,Winter
2022-01-25,East,5660,10692,3507,54.02,20,54.76,Winter
2022-01-26,East,5551,10151,4771,54.33,20,53.9,Winter
2022-01-27,East,4794,10188,4495,51.91,20,51.62,Winter
2022-01-28,East,4993,10237,4400,49.57,20,49.36,Winter
2022-01-29,East,4685,10889,4173,56.61,20,56.05,Winter
2022-01-30,East,6182,12115,4786,58.17,20,58.26,Winter
2022-01-31,East,6311,11369,4541,52.83,20,51.56,Winter
2022-02-01,East,5097,10561,4234,57.25,20,57.0,Winter
2022-02-02,East,6437,12838,4629,48.13,20,48.45,Winter
2022-02-03,East,4471,9141,4317,56.49,20,56.35,Winter
2022-02-04,East,4675,9381,4531,54.77,20,54.76,Winter
2022-02-05,East,7367,12607,4071,60.56,20,60.68,Winter
2022-02-06,East,4671,10903,5218,53.01,20,52.62,Winter
2022-02-07,East,6019,10588,4590,50.85,20,51.4,Winter
2022-02-08,East,6088,11507,4690,49.84,20,49.95,Winter
2022-02-09,East,4351,10180,4629,51.93,20,52.89,Winter
2022-02-10,East,5916,10150,3977,57.23,20,56.6,Winter
2022-02-11,East,7572,12671,4487,47.12,20,46.5,Winter
2022-02-12,East,4387,10497,4209,54.18,20,53.94,Winter
2022-02-13,East,4538,10108,4898,54.89,20,53.87,Winter
2022-02-14,East,5500,9744,4191,60.43,20,59.64,Winter
2022-02-15,East,5650,11101,4037,55.5,20,54.65,Winter
2022-02-16,East,6582,12037,4220,52.86,20,52.34,Winter
2022-02-17,East,5311,11043,4822,52.92,20,52.4,Winter
2022-02-18,East,4938,10234,4682,56.25,20,56.74,Winter
2022-02-19,East,3868,9571,4333,58.19,20,58.21,Winter
2022-02-20,East,5448,11065,4313,60.17,20,59.89,Winter
2022-02-21,East,5763,11125,4524,53.33,20,53.38,Winter
2022-02-22,East,6303,11700,4687,48.31,20,48.32,Winter
2022-02-23,East,5752,10995,3404,54.13,20,53.93,Winter
2022-02-24,East,6427,11199,3994,46.5,20,46.62,Winter
