Date,Store ID,Units Sold,Inventory Level,Units Ordered,Price,Discount,Competitor Pricing,Region,Weather Condition,Seasonality
2022-01-01,S001,2762,4880,2419,50.91,20,51.79,East,Cloudy,Winter
2022-01-02,S001,2093,5294,2366,48.08,20,47.64,East,Cloudy,Winter
2022-01-03,S001,2220,4543,2379,64.31,20,64.24,East,Sunny,Winter
2022-01-04,S001,2352,5187,2450,58.45,20,58.79,East,Sunny,Winter
2022-01-05,S001,1747,6049,2569,60.27,20,59.71,East,Rainy,Winter
2022-01-06,S001,2358,4685,2206,60.89,20,60.16,East,Rainy,Winter
2022-01-07,S001,2449,5794,2403,48.54,20,47.69,East,Rainy,Winter
2022-01-08,S001,2665,6133,1887,43.96,20,43.94,East,Cloudy,Winter
2022-01-09,S001,3194,5726,2007,55.34,20,54.55,East,Cloudy,Winter
2022-01-10,S001,2631,5839,2402,48.06,20,47.07,East,Cloudy,Winter
2022-01-11,S001,3281,5609,2588,53.91,20,54.14,East,Sunny,Winter
2022-01-12,S001,2633,6317,2013,60.76,20,60.73,East,Cloudy,Winter
2022-01-13,S001,2111,4540,2443,51.69,20,51.9,East,Cloudy,Winter
2022-01-14,S001,2640,5303,1850,51.4,20,51.35,East,Cloudy,Winter
2022-01-15,S001,2478,5569,1902,57.59,20,57.89,East,Rainy,Winter
2022-01-16,S001,3490,5013,1999,45.55,20,45.38,East,Cloudy,Winter
2022-01-17,S001,1903,3956,1886,49.79,20,50.13,East,Rainy,Winter
2022-01-18,S001,2425,4465,2074,61.75,20,61.72,East,Snowy,Winter
2022-01-19,S001,2898,6135,2481,62.38,20,62.73,East,Cloudy,Winter
2022-01-20,S001,3130,5991,2194,64.07,20,63.57,East,Snowy,Winter
2022-01-21,S001,2315,4692,2132,51.16,20,51.66,East,Sunny,Winter
2022-01-22,S001,2853,5961,2633,46.5,20,46.93,East,Snowy,Winter
2022-01-23,S001,1445,3507,2226,54.55,20,54.39,East,Rainy,Winter
2022-01-24,S001,1926,4744,2638,66.34,20,66.49,East,Snowy,Winter
2022-01-25,S001,2533,5294,1877,51.84,20,51.23,East,Rainy,Winter
2022-01-26,S001,2332,4675,2378,60.33,20,59.38,East,Cloudy,Winter
2022-01-27,S001,2330,5181,1803,56.01,20,55.82,East,Cloudy,Winter
2022-01-28,S001,2138,5120,2214,55.58,20,55.04,East,Cloudy,Winter
2022-01-29,S001,2161,5448,1806,57.42,20,56.91,East,Snowy,Winter
2022-01-30,S001,3059,6541,2482,59.42,20,60.13,East,Snowy,Winter
2022-01-31,S001,3072,5940,2539,53.02,20,51.89,East,Cloudy,Winter
2022-02-01,S001,2479,4880,2167,65.03,20,64.29,East,Cloudy,Winter
2022-02-02,S001,3080,6895,2337,50.99,20,51.61,East,Sunny,Winter
2022-02-03,S001,1729,3740,1860,56.74,20,56.77,East,Sunny,Winter
2022-02-04,S001,2012,4858,2180,56.29,20,56.13,East,Cloudy,Winter
2022-02-05,S001,3757,6478,2191,65.5,20,65.69,East,Snowy,Winter
2022-02-06,S001,2081,5276,2684,56.43,20,56.29,East,Sunny,Winter
2022-02-07,S001,2810,5349,2588,51.23,20,52.29,East,Snowy,Winter
2022-02-08,S001,3046,5865,2517,48.55,20,49.16,East,Cloudy,Winter
2022-02-09,S001,1468,4911,2504,53.35,20,54.06,East,Snowy,Winter
2022-02-10,S001,3012,5326,2064,58.21,20,58.1,East,Rainy,Winter
2022-02-11,S001,3580,6350,2048,43.2,20,42.49,East,Snowy,Winter
2022-02-12,S001,1941,5375,2074,56.43,20,56.44,East,Cloudy,Winter
2022-02-13,S001,2136,5739,2601,55.75,20,55.16,East,Cloudy,Winter
2022-02-14,S001,2958,5370,2155,64.05,20,63.36,East,Cloudy,Winter
2022-02-15,S001,3133,5823,1907,48.14,20,46.96,East,Snowy,Winter
2022-02-16,S001,3591,5649,1965,50.56,20,49.15,East,Cloudy,Winter
2022-02-17,S001,2949,5528,2185,51.92,20,51.27,East,Sunny,Winter
2022-02-18,S001,2345,5815,2155,52.71,20,52.94,East,Rainy,Winter
2022-02-19,S001,2203,4451,2273,57.31,20,56.8,East,Snowy,Winter
2022-02-20,S001,2421,5264,2179,57.41,20,56.77,East,Rainy,Winter
2022-02-21,S001,3438,5887,2299,57.61,20,57.7,East,Sunny,Winter
2022-02-22,S001,2497,5674,2323,45.37,20,45.28,East,Sunny,Winter
2022-02-23,S001,3498,5687,1677,51.11,20,51.29,East,Cloudy,Winter
2022-02-24,S001,3658,5508,1930,43.51,20,43.42,East,Snowy,Winter
2022-02-25,S001,3351,6257,2608,58.43,20,58.77,East,Snowy,Winter
2022-02-26,S001,3076,5712,1778,57.16,20,56.93,East,Sunny,Winter
2022-02-27,S001,2652,5292,2182,56.94,20,56.87,East,Rainy,Winter
2022-02-28,S001,3173,6277,2050,55.24,20,56.39,East,Cloudy,Winter
2022-03-01,S001,2530,5164,2301,58.0,20,56.75,East,Rainy,Winter
2022-03-02,S001,2628,5683,2485,51.02,20,51.18,East,Sunny,Winter
2022-03-03,S001,2758,5062,2392,49.59,20,49.0,East,Rainy,Winter
2022-03-04,S001,2682,4611,2230,60.46,20,60.23,East,Snowy,Winter
2022-03-05,S001,3280,5583,2307,42.4,20,42.34,East,Rainy,Winter
2022-03-06,S001,3131,5763,2029,64.62,20,64.0,East,Sunny,Winter
2022-03-07,S001,3102,6356,1954,63.03,20,62.77,East,Cloudy,Winter
2022-03-08,S001,2545,5701,2327,59.35,20,59.34,East,Sunny,Winter
2022-03-09,S001,3099,5201,2303,51.89,20,51.93,East,Rainy,Winter
2022-03-10,S001,2606,5410,2181,46.9,20,46.88,East,Rainy,Winter
2022-03-11,S001,2791,6133,2411,58.97,20,59.05,East,Snowy,Winter
2022-03-12,S001,2601,6301,2352,59.52,20,59.2,East,Cloudy,Winter
2022-03-13,S001,2759,5944,2283,65.25,20,65.29,East,Rainy,Winter
2022-03-14,S001,2354,5380,2282,54.65,20,54.32,East,Snowy,Winter
2022-03-15,S001,2551,4671,2243,60.23,20,60.73,East,Cloudy,Winter
2022-03-16,S001,2889,5900,1841,56.06,20,54.38,East,Snowy,Winter
2022-03-17,S001,1736,5187,1993,53.92,20,53.58,East,Snowy,Winter
2022-03-18,S001,3033,5066,2603,40.15,20,39.32,East,Cloudy,Winter
2022-03-19,S001,2978,5383,1616,49.09,20,48.67,East,Snowy,Winter
2022-03-20,S001,2197,5045,2504,63.22,20,62.79,East,Rainy,Winter
2022-03-21,S001,4284,6661,2476,61.86,20,60.99,East,Sunny,Spring
2022-03-22,S001,2528,4696,1745,45.55,20,45.93,East,Sunny,Spring
2022-03-23,S001,2957,5742,2074,61.39,20,61.37,East,Rainy,Spring
2022-03-24,S001,3097,5657,2431,46.72,20,46.99,East,Cloudy,Spring
2022-03-25,S001,3410,5863,2419,51.67,20,51.24,East,Cloudy,Spring
2022-03-26,S001,2635,5511,2217,68.46,20,68.24,East,Snowy,Spring
2022-03-27,S001,3331,5245,2043,49.22,20,49.38,East,Cloudy,Spring
2022-03-28,S001,1747,4971,2420,46.89,20,46.98,East,Cloudy,Spring
2022-03-29,S001,2239,5636,2465,66.07,20,65.89,East,Rainy,Spring
2022-03-30,S001,2498,5867,2468,49.61,20,50.2,East,Cloudy,Spring
2022-03-31,S001,2723,6075,2192,60.44,20,59.58,East,Cloudy,Spring
2022-04-01,S001,1879,4849,2250,58.66,20,58.53,East,Cloudy,Spring
2022-04-02,S001,2677,5144,2274,54.84,20,56.12,East,Cloudy,Spring
2022-04-03,S001,2552,5268,2261,57.46,20,59.46,East,Rainy,Spring
2022-04-04,S001,2509,4203,2272,49.84,20,49.87,East,Sunny,Spring
2022-04-05,S001,1571,5373,2164,62.75,20,62.82,East,Cloudy,Spring
2022-04-06,S001,2467,4980,2069,52.74,20,52.19,East,Cloudy,Spring
2022-04-07,S001,2757,5019,2130,61.8,20,61.62,East,Rainy,Spring
2022-04-08,S001,2485,4938,1969,53.1,20,52.78,East,Rainy,Spring
2022-04-09,S001,2755,5736,2071,40.79,20,40.39,East,Sunny,Spring
2022-04-10,S001,2360,4741,1975,56.9,20,56.88,East,Cloudy,Spring
2022-04-11,S001,3165,5066,2291,58.3,20,57.69,East,Snowy,Spring
2022-04-12,S001,3267,5746,2180,64.38,20,65.02,East,Rainy,Spring
