Type,ID,Model,MAE,RMSE,MAPE
Store,S001,Naive,681.6272727272727,813.7268024901903,23.106820037458306
Store,S001,Moving Average,484.6249852753882,602.4786960490093,16.81332889637139
Store,S001,Holt-Winters,387.234329211319,490.7682250333243,15.091873525333224
Store,S001,ARIMA,390.8181818181818,490.1542733011293,15.037583419168243
Store,S002,Naive,413.6727272727273,515.9207920178868,15.380877250696843
Store,S002,Moving Average,400.67870035163827,493.0574652430265,15.910746485331478
Store,S002,Holt-Winters,410.5623498928367,503.6471271301936,16.360562067315207
Store,S002,ARIMA,399.4571606475717,493.12986445774743,15.735008229108855
Store,S003,Naive,404.08181818181816,498.8371751110048,15.5649793671334
Store,S003,Moving Average,397.5146689604362,493.37189982404846,15.033801395477814
Store,S003,Holt-Winters,396.79174531307973,490.1364223946789,15.002748614576042
Store,S003,ARIMA,395.26454367550264,492.5407885079341,14.847685861852208
Store,S004,Naive,425.5181818181818,517.9066693737572,17.647718640134848
Store,S004,Moving Average,365.13136168977877,466.95793740829873,13.541075012160414
Store,S004,Holt-Winters,366.1754517236275,457.6217078610287,14.030038091211813
Store,S004,ARIMA,361.61053193381974,451.44889994837825,14.095303001296756
Store,S005,Naive,949.8636363636364,1061.6704076809594,39.37252492686495
Store,S005,Moving Average,466.06947062043076,584.8031467361475,19.56105531551632
Store,S005,Holt-Winters,407.622577698617,530.3853045321033,15.37430873367226
Store,S005,ARIMA,520.9961197579306,645.8796897681142,22.111361016324036
Region,East,Naive,874.1090909090909,1039.3237792823843,15.203832239647234
Region,East,Moving Average,589.0225843892778,737.5391876198512,10.555855736345801
Region,East,Holt-Winters,521.1318188512279,661.5629043824842,9.878472642876492
Region,East,ARIMA,521.8181818181819,661.9152064740774,9.859844673044355
Region,South,Naive,404.08181818181816,498.8371751110048,15.5649793671334
Region,South,Moving Average,397.5146689604362,493.37189982404846,15.033801395477814
Region,South,Holt-Winters,396.79174531307973,490.1364223946789,15.002748614576042
Region,South,ARIMA,395.26454367550264,492.5407885079341,14.847685861852208
Region,West,Naive,425.5181818181818,517.9066693737572,17.647718640134848
Region,West,Moving Average,365.13136168977877,466.95793740829873,13.541075012160414
Region,West,Holt-Winters,366.1754517236275,457.6217078610287,14.030038091211813
Region,West,ARIMA,361.61053193381974,451.44889994837825,14.095303001296756
Region,North,Naive,949.8636363636364,1061.6704076809594,39.37252492686495
Region,North,Moving Average,466.06947062043076,584.8031467361475,19.56105531551632
Region,North,Holt-Winters,407.622577698617,530.3853045321033,15.37430873367226
Region,North,ARIMA,520.9961197579306,645.8796897681142,22.111361016324036
Category,Groceries,Naive,512.4318181818181,656.6144399320447,11.929455255098596
Category,Groceries,Moving Average,494.99547821157057,630.8535079234205,11.640644238814902
Category,Groceries,Holt-Winters,473.89798010718,571.984143770109,11.822483147129603
Category,Groceries,ARIMA,472.27913131398276,570.2895402938866,11.919251950426359
Category,Furniture,Naive,359.4909090909091,458.19697034830295,16.99262140362355
Category,Furniture,Moving Average,334.79820460211397,417.8276643709037,18.150947581535426
Category,Furniture,Holt-Winters,333.05753019198113,422.71816176525346,16.589773118088456
Category,Furniture,ARIMA,322.0995374488525,409.17377462681026,16.576165793920875
Category,Electronics,Naive,436.2681818181818,538.6430973879052,13.842589637805943
Category,Electronics,Moving Average,436.3315146597589,539.0673381119675,13.85474552966912
Category,Electronics,Holt-Winters,442.53737704010024,547.0660951008141,14.191917266862214
Category,Electronics,ARIMA,436.41242661448143,533.4674238835773,13.520363383755399
Category,Toys,Naive,339.0090909090909,419.73032467829324,18.385388759949997
Category,Toys,Moving Average,395.93158449158534,501.4626106793641,17.971827493629576
Category,Toys,Holt-Winters,349.6170370408703,442.6969755788546,16.583044983674874
Category,Toys,ARIMA,318.93469133606123,401.6160548052219,16.583144408189966
Category,Clothing,Naive,802.8545454545455,900.8138592910908,45.256058533500955
Category,Clothing,Moving Average,403.7150167884874,493.6605816359596,22.989622762104194
Category,Clothing,Holt-Winters,365.82755702536826,441.4433730381242,19.483377108106932
Category,Clothing,ARIMA,352.7909090909091,424.90248195682364,18.126010002388014
Product ID,P0001,Naive,227.1,291.9434409732007,32.78048395273915
Product ID,P0001,Moving Average,202.47074333518418,258.77386947810635,32.67005874805421
Product ID,P0001,Holt-Winters,199.6717069423116,246.3575438266179,37.13032050536292
Product ID,P0001,ARIMA,197.9999964556189,244.3483624745031,36.376311795074415
Product ID,P0002,Naive,224.11818181818182,274.18482485691686,46.81626622096236
Product ID,P0002,Moving Average,200.9853348140437,252.84814498506637,41.03812840160012
Product ID,P0002,Holt-Winters,184.2609499300541,241.1371288761663,32.99516695859781
Product ID,P0002,ARIMA,182.4926703433553,237.16548525851698,34.26292433791646
Product ID,P0003,Naive,363.99545454545455,436.7299300691239,47.75865684124308
Product ID,P0003,Moving Average,209.29772306148288,262.5714512471435,35.3169646685981
Product ID,P0003,Holt-Winters,204.80089884316786,253.21635032979094,37.55619526629404
Product ID,P0003,ARIMA,205.23132004981318,253.5939420792559,38.099421245703
Product ID,P0004,Naive,190.12272727272727,240.45189464082756,37.449608261031855
Product ID,P0004,Moving Average,186.88371204603166,240.07369995416767,34.86506653907462
Product ID,P0004,Holt-Winters,191.70321976390736,240.96266416468427,36.66476116925782
Product ID,P0004,ARIMA,190.41927605100992,240.71929871987794,37.51364326165024
Product ID,P0005,Naive,241.96363636363637,289.8294482810694,50.802940103520456
Product ID,P0005,Moving Average,188.94162639334496,229.59451882104761,35.34811169653627
Product ID,P0005,Holt-Winters,190.41357521818483,231.06378859775157,35.529957136618705
Product ID,P0005,ARIMA,189.71846646504181,230.12258355765496,35.647466420334396
Product ID,P0006,Naive,251.10454545454544,303.08839844627386,52.575208644173046
Product ID,P0006,Moving Average,194.88713971021608,248.96071915573484,34.18829283171161
Product ID,P0006,Holt-Winters,195.60405164737236,249.65153776743387,33.540323501841094
Product ID,P0006,ARIMA,194.09408468244087,247.1656309815436,35.49320808570105
Product ID,P0007,Naive,281.8772727272727,333.94673636266117,64.51749393541071
Product ID,P0007,Moving Average,199.01594383560203,245.69362243254724,44.06849818067786
Product ID,P0007,Holt-Winters,188.89014530750583,237.92055419905978,39.1287455796921
Product ID,P0007,ARIMA,187.47403486924037,235.35928520257434,39.93532227289304
Product ID,P0008,Naive,423.50454545454545,493.7424567893302,55.05034991300495
Product ID,P0008,Moving Average,226.74430733527294,271.3455803939924,47.26777731959294
Product ID,P0008,Holt-Winters,220.02302752169814,270.0767539010901,38.71986020400126
Product ID,P0008,ARIMA,216.64663760896636,263.46891918730034,39.47536895927522
Product ID,P0009,Naive,373.7681818181818,443.27598113877707,47.21199244215954
Product ID,P0009,Moving Average,204.27759842028308,254.65051527651292,33.29478327171418
Product ID,P0009,Holt-Winters,207.17882370370856,255.46707070137654,33.83439514345573
Product ID,P0009,ARIMA,202.33281444582812,251.17395672886857,33.90811125171347
Product ID,P0010,Naive,406.6818181818182,479.08202941572637,53.986637692837235
Product ID,P0010,Moving Average,221.36070173499022,279.71107383983207,35.24523322569206
Product ID,P0010,Holt-Winters,216.42000675780793,265.78392680141104,37.943888812533984
Product ID,P0010,ARIMA,212.36740793453123,257.5276293264987,40.61078371436286
Product ID,P0011,Naive,209.65454545454546,259.3197569866908,45.97187474600821
Product ID,P0011,Moving Average,199.12902154420053,249.7570729087728,38.28355973331016
Product ID,P0011,Holt-Winters,201.99419381299336,253.4374566049618,41.03736931398408
Product ID,P0011,ARIMA,198.53966980312956,249.0334961714917,38.751289244196926
Product ID,P0012,Naive,298.98636363636365,349.7626662856868,61.06115915710505
Product ID,P0012,Moving Average,209.2948466382902,261.0078837342166,38.342027472559245
Product ID,P0012,Holt-Winters,206.460511245838,263.771954756286,33.362225088352545
Product ID,P0012,ARIMA,204.60516811955168,258.8204109159593,35.091994849232165
Product ID,P0013,Naive,357.04545454545456,422.79397518714177,47.249684181400085
Product ID,P0013,Moving Average,209.46280461036335,258.75655137245684,32.77868986524338
Product ID,P0013,Holt-Winters,202.19367542245308,242.28561901535159,37.62354988947036
Product ID,P0013,ARIMA,196.14330190357592,236.00755853979805,37.549534844827946
Product ID,P0014,Naive,570.6818181818181,616.5499389933692,109.10108142443681
Product ID,P0014,Moving Average,196.56494761715453,234.6179424181504,35.906668484372965
Product ID,P0014,Holt-Winters,195.72043858133037,241.8202452906112,32.48597529742619
Product ID,P0014,ARIMA,195.3066665756196,234.02947756676477,34.800757020503156
Product ID,P0015,Naive,202.4227272727273,248.84000884102218,38.673446562231845
Product ID,P0015,Moving Average,207.57852877260964,252.68857699939483,41.03554654500813
Product ID,P0015,Holt-Winters,202.51163912789008,250.40202302353472,37.17168530088023
Product ID,P0015,ARIMA,200.25475538022414,248.54632727574355,36.92210761054712
Product ID,P0016,Naive,257.49545454545455,309.3564360821584,53.42345901693463
Product ID,P0016,Moving Average,198.4063728066417,246.73769821846273,35.92411236673567
Product ID,P0016,Holt-Winters,202.3742505280304,249.78977012984748,38.13402720124187
Product ID,P0016,ARIMA,197.95621841961395,246.6428520348301,35.59805778224124
Product ID,P0017,Naive,184.4318181818182,235.70251859648693,33.02254330333367
Product ID,P0017,Moving Average,209.30934939363115,262.2770340792685,41.601762028818634
Product ID,P0017,Holt-Winters,188.75764688236086,239.79639007227624,31.756061474209258
Product ID,P0017,ARIMA,184.7397705034691,236.59700354836204,31.865082388900518
Product ID,P0018,Naive,244.79090909090908,289.60906251515866,50.39515045540933
Product ID,P0018,Moving Average,195.6526248190755,244.72927551845677,34.02147386406013
Product ID,P0018,Holt-Winters,196.3272320663745,242.2203917944263,35.938822911831764
Product ID,P0018,ARIMA,195.77146237162518,243.87488714695243,34.809111891059004
Product ID,P0019,Naive,560.2727272727273,605.7820415117816,113.49702410055902
Product ID,P0019,Moving Average,221.01455169492507,266.25881926596225,46.14462018281007
Product ID,P0019,Holt-Winters,201.23096939952038,246.0573663642707,39.35276655849903
Product ID,P0019,ARIMA,197.30277530688485,244.43375321272103,37.45623228497719
Product ID,P0020,Naive,187.93636363636364,233.90610004094302,30.612211213250056
Product ID,P0020,Moving Average,249.35497912832523,315.5843046739075,32.64429418032037
Product ID,P0020,Holt-Winters,189.05171011528398,234.74228848603093,31.441767524465547
Product ID,P0020,ARIMA,186.02389254581038,229.96597801439484,32.645575164373504
